date,open,high,low,close,change_from_baseline_pct,zone_status,volume
2026-09-04,1644.0,1644.5,1560.9,1584.0,0.0,HOLDING ABOVE 20-SMA,5585636
2026-09-07,1575.0,1618.0,1561.1,1599.3,0.97,HOLDING ABOVE 20-SMA,3787172
